@rep:1
@time:10959
@trys:?
@seed:?
@dps-begin:
2060,9014,8438,3835,1842
2060,9014,8438,3835,2148
2060,9014,8438,8080,4825
2060,9014,8438,3835,8771
9014,8438,4825,4775,5302
2060,8771,3835,3679,9014
9014,4636,5302,1842,1751
9014,8438,3835,2148,3679
9014,4636,5302,1842,4988
2060,8080,8438,6257,3679
9014,4636,4775,3679,1842
2060,8771,3835,3679,4636
9014,8438,3835,2148,6257
21216,1841,7823,3679,19107
9014,4636,4775,3679,4988
2060,8771,3835,3679,8438
9014,4636,5302,1842,13732
9014,8438,3835,2148,9897
2060,8771,3835,3679,7823
9014,4636,4775,5302,3679
@dps-end:
